trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.5, 'e': 0.08873565094161139}",25,14,2.0634322770243916,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.08838834764831843}",25,0,23.645169339955974,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.08804509063256238}",20,13,12.792719603723206,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.08770580193070293}",30,21,12.790741415526933,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.0873704056661038}",30,16,26.65728445890879,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.08703882797784893}",20,7,9.947304260882387,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.086710996952412}",20,10,-0.5472503707534873,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.08638684255813601}",20,4,3.015565524531487,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.08606629658238704}",25,7,29.80174548220076,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.08574929257125441}",35,25,19.961023701072264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.0854357657716761}",25,8,32.65028082565458,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.08512565307587486}",20,10,13.967571581660803,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.08481889296799709}",25,9,15.439212352303908,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.08451542547285165}",35,25,8.740945431168651,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.0842151921066519}",25,0,35.515405450785835,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.08391813582966891}",30,0,33.56396933052997,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.08362420100070908}",20,16,7.730323258806832,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.08333333333333333}",25,8,17.064102431046948,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.08304547985373997}",30,11,-7.467431118287424,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.0827605888602368}",20,13,12.29693901677583,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.08247860988423225}",25,18,12.741614348674567,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.08219949365267865}",25,20,8.393306011920657,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.08192319205190404}",20,7,20.270677164292323,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.08164965809277261}",30,14,-8.748028161615315,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.08137884587711594}",20,5,16.537969137167277,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.08111071056538126}",35,15,4.891440558593237,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
